Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREABC_C0_0/COREABC_C0_0/Primitives,238,36,0,0,0,0,0,0,1,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/Primitives,10,1,0,0,0,0,0,0,0,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/UG4.UR8.ram_r0c0/Primitives,1,0,36,36,0,0,1,0,0,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/UG4.UR8.ram_r1c0/Primitives,1,0,36,36,0,0,1,0,0,0
COREABC_C0_0/COREABC_C0_0/UROM.UROM/Primitives,108,18,0,0,0,0,0,0,0,0
CoreAPB3_C0_0/CoreAPB3_C0_0/Primitives,1,0,0,0,0,0,0,0,0,0
CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/Primitives,8,0,0,0,0,0,0,0,0,0
Delta_Sigma_Converter_0/Primitives,310,354,0,0,0,0,0,0,0,0
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,0,0,0,0,1,2,0
Nokia5110_Driver_0/LCD_timer/Primitives,63,66,0,0,0,0,0,0,0,0
Nokia5110_Driver_0/Primitives,358,313,288,288,0,0,8,0,1,0
Nokia5110_Driver_0/SPI_timer/Primitives,18,21,0,0,0,0,0,0,1,0
OSC_C0_0/OSC_C0_0/Primitives,0,0,0,0,0,0,0,0,0,1
Primitives/Primitives,2,0,0,0,18,1,0,0,0,0
