
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. Delta_Sigma_Design, 809, 1023, 93, 0, 0, 0, 10, 5, 19
.	. COREABC_C0, 55, 326, 32, 0, 0, 0, 2, 1, 0
.	.	. COREABC_C0_COREABC_C0_0_COREABC, 55, 326, 32, 0, 0, 0, 2, 1, 0
.	.	.	. COREABC_C0_COREABC_C0_0_INSTRUCTIONS, 18, 100, 5, 0, 0, 0, 0, 0, 0
.	.	.	. COREABC_C0_COREABC_C0_0_RAMBLOCKS, 1, 12, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	. COREABC_C0_COREABC_C0_0_RAM128X8, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. COREABC_C0_COREABC_C0_0_RAM128X8_0, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	. CoreAPB3_C0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	. Delta_Sigma_Converter, 354, 287, 23, 0, 0, 0, 0, 0, 0
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	. Nokia5110_Driver, 400, 401, 38, 0, 0, 0, 8, 2, 0
.	.	. timerZ0, 66, 42, 21, 0, 0, 0, 0, 0, 0
.	.	. timerZ1, 21, 18, 0, 0, 0, 0, 0, 1, 0
.	. OSC_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSC_C0_OSC_C0_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
