Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREABC_C0_0/COREABC_C0_0/Primitives,103,38,0,0,0,0,0,1,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/Primitives,1,0,0,0,0,0,0,0,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/UG4.UR8.ram_r0c0/Primitives,0,0,36,36,0,1,0,0,0
COREABC_C0_0/COREABC_C0_0/UROM.UROM/Primitives,14,0,0,0,0,0,0,0,0
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,0,0,0,1,1,0
Nokia5110_Driver_Block_SD_0/Nokia5110_Driver_0/LCD_timer/Primitives,40,22,0,0,0,0,0,0,0
Nokia5110_Driver_Block_SD_0/Nokia5110_Driver_0/Primitives,172,96,288,288,0,8,0,1,0
Nokia5110_Driver_Block_SD_0/Nokia5110_Driver_0/SPI_timer/Primitives,10,7,0,0,0,0,0,1,0
OSC_C0_0/OSC_C0_0/Primitives,0,0,0,0,0,0,0,0,1
Primitives/Primitives,1,0,0,0,8,0,0,0,0
