
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. Driver_Container, 163, 300, 40, 0, 0, 0, 9, 4, 8
.	. COREABC_C0, 38, 118, 0, 0, 0, 0, 1, 1, 0
.	.	. COREABC_C0_COREABC_C0_0_COREABC, 38, 118, 0, 0, 0, 0, 1, 1, 0
.	.	.	. COREABC_C0_COREABC_C0_0_INSTRUCTIONS, 0, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREABC_C0_COREABC_C0_0_RAMBLOCKS, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. COREABC_C0_COREABC_C0_0_RAM128X8, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. Nokia5110_Driver_Block_SD, 125, 182, 40, 0, 0, 0, 8, 2, 0
.	.	. Nokia5110_Driver, 125, 182, 40, 0, 0, 0, 8, 2, 0
.	.	.	. timerZ0, 22, 19, 21, 0, 0, 0, 0, 0, 0
.	.	.	. timerZ1, 7, 10, 0, 0, 0, 0, 0, 1, 0
.	. OSC_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSC_C0_OSC_C0_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
