Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREABC_C0_0/COREABC_C0_0/Primitives,189,35,0,0,0,0,0,1,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/Primitives,11,1,0,0,0,0,0,0,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/UG4.UR8.ram_r0c0/Primitives,0,0,36,36,0,1,0,0,0
COREABC_C0_0/COREABC_C0_0/URAM.UR/UG4.UR8.ram_r1c0/Primitives,0,0,36,36,0,1,0,0,0
COREABC_C0_0/COREABC_C0_0/UROM.UROM/Primitives,237,22,0,0,0,0,0,0,0
COREI2C_C0_0/COREI2C_C0_0/G0a.0.ui2c/Primitives,340,111,0,0,0,0,0,0,0
COREI2C_C0_0/COREI2C_C0_0/Primitives,4,8,0,0,0,0,0,0,0
CoreAPB3_C0_0/CoreAPB3_C0_0/Primitives,2,0,0,0,0,0,0,0,0
CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/Primitives,6,0,0,0,0,0,0,0,0
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,0,0,0,1,2,0
LED_Controller_0/Primitives,167,122,0,0,0,0,0,0,0
LED_Controller_0/timer_Comp/Primitives,32,19,0,0,0,0,0,0,0
OSC_C0_0/OSC_C0_0/Primitives,0,0,0,0,0,0,0,0,1
Primitives/Primitives,2,0,0,0,23,0,0,0,0
