
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. Blinking_System, 318, 837, 149, 0, 0, 0, 2, 3, 23
.	. COREABC_C0, 58, 367, 70, 0, 0, 0, 2, 1, 0
.	.	. COREABC_C0_COREABC_C0_0_COREABC, 58, 367, 70, 0, 0, 0, 2, 1, 0
.	.	.	. COREABC_C0_COREABC_C0_0_INSTRUCTIONS, 22, 191, 46, 0, 0, 0, 0, 0, 0
.	.	.	. COREABC_C0_COREABC_C0_0_RAMBLOCKS, 1, 11, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	. COREABC_C0_COREABC_C0_0_RAM128X8, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. COREABC_C0_COREABC_C0_0_RAM128X8_0, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	. COREI2C_C0, 119, 334, 10, 0, 0, 0, 0, 0, 0
.	.	. COREI2C_C0_COREI2C_C0_0_COREI2C, 119, 334, 10, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2C_COREI2CREAL, 111, 330, 10, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_C0, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	. LED_Controller, 141, 128, 69, 0, 0, 0, 0, 0, 0
.	.	. timer, 19, 14, 18, 0, 0, 0, 0, 0, 0
.	. OSC_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSC_C0_OSC_C0_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
